"","nr","year","agric","black","bus","construc","ent","exper","fin","hisp","poorhlth","hours","manuf","married","min","nrthcen","nrtheast","occ1","occ2","occ3","occ4","occ5","occ6","occ7","occ8","occ9","per","pro","pub","rur","south","educ","tra","trad","union","lwage","d81","d82","d83","d84","d85","d86","d87","expersq","diff_lwage","diff_union"
"24",18,1987,0,0,0,0,0,11,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.87316083908081,0,0,0,0,0,0,1,121,0.803216934204102,0
"25",45,1980,0,0,0,0,0,2,0,0,0,1864,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1.89411497116089,0,0,0,0,0,0,0,4,NA,NA
"26",45,1981,0,0,0,0,0,3,0,0,0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,1.47115933895111,1,0,0,0,0,0,0,9,-0.422955632209778,0
"27",45,1982,0,0,0,0,0,4,0,0,0,2274,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.47349750995636,0,1,0,0,0,0,0,16,0.00233817100524902,-1
"28",45,1983,0,0,0,0,0,5,0,0,0,2112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.74091422557831,0,0,1,0,0,0,0,25,0.267416715621948,0
"29",45,1984,0,0,1,0,0,6,0,0,0,1920,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.8232136964798,0,0,0,1,0,0,0,36,0.0822994709014893,0
"30",45,1985,0,0,0,0,0,7,0,0,0,2205,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.90827286243439,0,0,0,0,1,0,0,49,0.0850591659545898,0
"31",45,1986,0,0,0,0,0,8,0,0,0,2551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.74244737625122,0,0,0,0,0,1,0,64,-0.165825486183167,0
"32",45,1987,0,0,0,1,0,9,0,0,0,2860,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.13568902015686,0,0,0,0,0,0,1,81,0.39324164390564,0
"33",110,1980,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1.94877481460571,0,0,0,0,0,0,0,25,NA,NA
"34",110,1981,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.96225929260254,1,0,0,0,0,0,0,36,0.0134844779968262,-1
"35",110,1982,0,0,0,0,0,7,0,0,0,2639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9632967710495,0,1,0,0,0,0,0,49,0.00103747844696045,0
"36",110,1983,0,0,0,0,0,8,0,0,0,2223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2.20251560211182,0,0,1,0,0,0,0,64,0.239218831062317,0
"37",110,1984,0,0,0,0,0,9,0,0,0,2150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.13495421409607,0,0,0,1,0,0,0,81,-0.0675613880157471,0
"38",110,1985,0,0,1,0,0,10,0,0,0,1532,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.12582278251648,0,0,0,0,1,0,0,100,-0.00913143157958984,0
"39",110,1986,0,0,0,0,0,11,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.99101662635803,0,0,0,0,0,1,0,121,-0.134806156158447,0
"40",110,1987,0,0,0,0,0,12,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.11239337921143,0,0,0,0,0,0,1,144,0.121376752853394,0
"41",120,1980,0,0,0,0,0,2,0,0,0,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.258554875850677,0,0,0,0,0,0,0,4,NA,NA
"42",120,1981,0,0,0,0,0,3,0,0,0,1496,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.31997168064117,1,0,0,0,0,0,0,9,1.0614168047905,0
"43",120,1982,0,0,0,0,0,4,0,0,0,1394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.46208524703979,0,1,0,0,0,0,0,16,0.142113566398621,0
"44",120,1983,0,0,0,0,0,5,0,0,0,2924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.32028687000275,0,0,1,0,0,0,0,25,-0.141798377037048,0
"45",120,1984,0,0,0,0,1,6,0,0,0,3564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1.70364654064178,0,0,0,1,0,0,0,36,0.383359670639038,0
"46",120,1985,0,0,0,0,0,7,0,0,0,3979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.44580316543579,0,0,0,0,1,0,0,49,-0.257843375205994,0
"47",120,1986,0,0,0,0,0,8,1,0,0,4351,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.80636405944824,0,0,0,0,0,1,0,64,0.360560894012451,0
"48",120,1987,0,0,1,0,0,9,0,0,0,3568,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.14812016487122,0,0,0,0,0,0,1,81,0.341756105422974,0
"49",126,1980,0,0,0,0,0,2,0,0,0,3115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.73728549480438,0,0,0,0,0,0,0,4,NA,NA
"50",126,1981,0,0,0,0,0,3,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.98960089683533,1,0,0,0,0,0,0,9,0.252315402030945,0
"51",126,1982,0,0,0,0,0,4,0,0,0,2390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.18991684913635,0,1,0,0,0,0,0,16,0.200315952301025,0
"52",126,1983,0,0,0,0,0,5,0,0,0,2340,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.85546326637268,0,0,1,0,0,0,0,25,-0.334453582763672,0
"53",126,1984,0,0,0,0,0,6,0,0,0,2250,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.92243778705597,0,0,0,1,0,0,0,36,0.0669745206832886,0
"54",126,1985,0,0,0,0,0,7,0,0,0,2340,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.06102395057678,0,0,0,0,1,0,0,49,0.138586163520813,0
"55",126,1986,0,0,0,0,0,8,0,0,0,2941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.78220164775848,0,0,0,0,0,1,0,64,-0.278822302818298,0
"56",126,1987,0,0,0,0,0,9,0,0,0,2847,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.41468167304993,0,0,0,0,0,0,1,81,0.632480025291443,0
"57",150,1980,0,0,1,0,0,2,0,0,0,1876,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.20873534679413,0,0,0,0,0,0,0,4,NA,NA
"58",150,1981,0,0,1,0,0,3,0,0,0,2327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.19403970241547,1,0,0,0,0,0,0,9,-0.0146956443786621,0
"59",150,1982,0,0,1,0,0,4,0,0,0,2006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.17044055461884,0,1,0,0,0,0,0,16,-0.0235991477966309,0
"60",150,1983,0,0,1,0,0,5,0,0,0,1826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.09796452522278,0,0,1,0,0,0,0,25,-0.0724760293960571,0
"61",150,1984,0,0,1,0,0,6,0,0,0,3414,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0.765816211700439,0,0,0,1,0,0,0,36,-0.332148313522339,0
"62",150,1985,0,0,1,0,0,7,0,0,0,3928,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1.11902594566345,0,0,0,0,1,0,0,49,0.353209733963013,0
"63",150,1986,0,0,1,0,0,8,0,0,0,4000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.11936676502228,0,0,0,0,0,1,0,64,0.000340819358825684,0
"64",150,1987,0,0,1,0,0,9,0,0,0,4992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0.831459522247314,0,0,0,0,0,0,1,81,-0.287907242774963,1
"65",162,1980,0,0,0,0,0,2,0,0,0,1874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0.502470135688782,0,0,0,0,0,0,0,4,NA,NA
"66",162,1981,0,0,0,0,0,3,0,0,0,1710,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.06491231918335,1,0,0,0,0,0,0,9,0.562442183494568,-1
"67",162,1982,0,0,0,0,0,4,0,0,0,1488,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.18949794769287,0,1,0,0,0,0,0,16,0.124585628509521,0
"68",162,1983,0,0,0,0,0,5,0,0,0,939,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1.5398885011673,0,0,1,0,0,0,0,25,0.350390553474426,0
"69",162,1984,0,0,0,0,0,6,0,0,0,1980,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.5982860326767,0,0,0,1,0,0,0,36,0.0583975315093994,0
"70",162,1985,0,0,0,0,0,7,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.7373206615448,0,0,0,0,1,0,0,49,0.139034628868103,0
"71",162,1986,0,0,0,0,0,8,0,0,0,2720,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.98845589160919,0,0,0,0,0,1,0,64,0.251135230064392,0
"72",162,1987,0,0,0,0,0,9,0,0,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,2.15867853164673,0,0,0,0,0,0,1,81,0.170222640037537,0
"73",166,1980,0,0,0,0,0,2,0,0,0,1296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.00529396533966,0,0,0,0,0,0,0,4,NA,NA
"74",166,1981,0,0,0,0,0,3,0,0,0,1942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0.937687397003174,1,0,0,0,0,0,0,9,-0.0676065683364868,0
"75",166,1982,0,0,0,0,0,4,0,0,0,1245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.36748766899109,0,1,0,0,0,0,0,16,0.429800271987915,0
"76",166,1983,0,0,0,0,0,5,0,0,0,1196,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.37800872325897,0,0,1,0,0,0,0,25,0.0105210542678833,0
"77",166,1984,0,0,0,0,0,6,0,0,0,2387,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.17018353939056,0,0,0,1,0,0,0,36,-0.207825183868408,0
"78",166,1985,0,0,0,0,0,7,0,0,0,2160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,1.72822141647339,0,0,0,0,1,0,0,49,0.558037877082825,-1
"79",166,1986,0,0,0,0,0,8,0,0,0,2336,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1.70986473560333,0,0,0,0,0,1,0,64,-0.0183566808700562,0
"80",166,1987,0,0,0,0,0,9,0,0,0,2301,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,1.85107481479645,0,0,0,0,0,0,1,81,0.141210079193115,0
"81",189,1980,0,0,0,0,0,2,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.13054537773132,0,0,0,0,0,0,0,4,NA,NA
"82",189,1981,0,0,0,0,0,3,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0.83624804019928,1,0,0,0,0,0,0,9,-0.294297337532043,0
"83",189,1982,0,0,0,0,0,4,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.46735978126526,0,1,0,0,0,0,0,16,0.631111741065979,0
"84",189,1983,0,0,0,0,0,5,0,0,0,520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.07148361206055,0,0,1,0,0,0,0,25,-0.395876169204712,0
"85",189,1984,0,0,0,0,0,6,0,0,0,1400,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.44591951370239,0,0,0,1,0,0,0,36,0.374435901641846,0
"86",189,1985,0,0,0,0,0,7,0,0,0,1754,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.68511629104614,0,0,0,0,1,0,0,49,0.23919677734375,0
"87",189,1986,0,0,0,0,0,8,0,0,0,1840,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.68617498874664,0,0,0,0,0,1,0,64,0.00105869770050049,0
"88",189,1987,0,0,0,0,0,9,0,0,0,1872,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.75513029098511,0,0,0,0,0,0,1,81,0.0689553022384644,0
"89",193,1980,0,0,0,0,0,2,0,0,0,980,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.56569194793701,0,0,0,0,0,0,0,4,NA,NA
"90",193,1981,0,0,0,0,0,3,0,0,0,925,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.49387526512146,1,0,0,0,0,0,0,9,0.928183317184448,0
"91",193,1982,0,0,0,0,0,4,0,0,0,2187,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.82266211509705,0,1,0,0,0,0,0,16,-0.671213150024414,0
"92",193,1983,0,0,0,0,0,5,0,0,0,2080,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.38033604621887,0,0,1,0,0,0,0,25,0.557673931121826,0
"93",193,1984,0,0,0,0,0,6,0,0,0,2346,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.21712851524353,0,0,0,1,0,0,0,36,-0.163207530975342,0
"94",193,1985,0,0,0,0,0,7,0,0,0,2487,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.27203154563904,0,0,0,0,1,0,0,49,0.0549030303955078,0
"95",193,1986,0,0,0,0,0,8,0,0,0,2328,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.35379862785339,0,0,0,0,0,1,0,64,0.0817670822143555,0
"96",193,1987,0,0,0,0,0,9,0,0,0,2132,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.42945003509521,0,0,0,0,0,0,1,81,0.0756514072418213,0
"97",209,1980,0,0,0,0,0,3,0,0,0,2340,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.91800320148468,0,0,0,0,0,0,0,9,NA,NA
"98",209,1981,0,0,0,0,0,4,0,0,0,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0.765407741069794,1,0,0,0,0,0,0,16,-1.15259546041489,0
"99",209,1982,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.97818541526794,0,1,0,0,0,0,0,25,1.21277767419815,0
"100",209,1983,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9485536813736,0,0,1,0,0,0,0,36,-0.0296317338943481,0
"101",209,1984,0,0,0,0,1,7,0,0,0,2280,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2.03702592849731,0,0,0,1,0,0,0,49,0.0884722471237183,0
"102",209,1985,0,0,0,0,0,8,0,0,0,2520,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.90257477760315,0,0,0,0,1,0,0,64,-0.134451150894165,0
"103",209,1986,0,0,0,0,0,9,0,0,0,2395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.97260367870331,0,0,0,0,0,1,0,81,0.0700289011001587,0
"104",209,1987,0,0,0,0,1,10,0,0,0,2145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.18698215484619,0,0,0,0,0,0,1,100,0.214378476142883,0
"105",212,1980,0,0,0,0,0,2,0,0,0,2080,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1.7844717502594,0,0,0,0,0,0,0,4,NA,NA
"106",212,1981,0,0,0,0,0,3,0,0,0,2080,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.17998266220093,1,0,0,0,0,0,0,9,0.395510911941528,0
"107",212,1982,0,0,0,0,0,4,0,0,0,2110,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1.96386539936066,0,1,0,0,0,0,0,16,-0.216117262840271,0
"108",212,1983,0,0,0,0,0,5,0,0,0,2550,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.04493284225464,0,0,1,0,0,0,0,25,0.0810674428939819,0
"109",212,1984,0,0,0,0,0,6,0,0,0,2560,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.01286125183105,0,0,0,1,0,0,0,36,-0.032071590423584,0
"110",212,1985,0,0,0,0,0,7,0,0,0,2704,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.09698581695557,0,0,0,0,1,0,0,49,0.0841245651245117,0
"111",212,1986,0,0,0,0,0,8,0,0,0,2856,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.14396619796753,0,0,0,0,0,1,0,64,0.0469803810119629,0
"112",212,1987,0,0,0,0,0,9,0,0,0,2912,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,2.24128437042236,0,0,0,0,0,0,1,81,0.097318172454834,1
"113",218,1980,0,0,0,0,0,2,0,0,0,2080,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.01331329345703,0,0,0,0,0,0,0,4,NA,NA
"114",218,1981,0,0,0,0,0,3,0,0,0,2530,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1.9621524810791,1,0,0,0,0,0,0,9,-0.0511608123779297,0
"115",218,1982,0,0,0,0,0,4,0,0,0,2240,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.27564096450806,0,1,0,0,0,0,0,16,0.313488483428955,0
"116",218,1983,0,0,1,0,0,5,0,0,0,2520,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.19491767883301,0,0,1,0,0,0,0,25,-0.0807232856750488,0
"117",218,1984,0,0,0,0,0,6,0,0,0,2405,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.42833733558655,0,0,0,1,0,0,0,36,0.23341965675354,0
"118",218,1985,0,0,1,0,0,7,0,0,0,2130,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.72303700447083,0,0,0,0,1,0,0,49,0.294699668884277,0
"119",218,1986,0,0,1,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.96639633178711,0,0,0,0,0,1,0,64,0.243359327316284,0
"120",218,1987,0,0,1,0,0,9,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.06505179405212,0,0,0,0,0,0,1,81,0.0986554622650146,0
"121",243,1980,0,0,0,0,0,4,0,0,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,1.56418132781982,0,0,0,0,0,0,0,16,NA,NA
"122",243,1981,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.6835458278656,1,0,0,0,0,0,0,25,0.119364500045776,0
"123",243,1982,0,0,0,0,0,6,0,0,1,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.69050335884094,0,1,0,0,0,0,0,36,0.0069575309753418,0
"124",243,1983,0,0,0,0,0,7,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.66087162494659,0,0,1,0,0,0,0,49,-0.0296317338943481,0
"125",243,1984,0,0,0,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.69805061817169,0,0,0,1,0,0,0,64,0.0371789932250977,0
